,axis-0,axis-1
0,41,1059
1,42,1060
2,48,905
3,53,900
4,62,1463
5,71,1463
6,123,763
7,130,763
8,149,68
9,153,64
10,172,315
11,177,320
12,178,1329
13,183,1323
14,185,1542
15,191,1547
16,210,947
17,214,943
18,217,697
19,222,694
20,224,691
21,228,1569
22,231,1572
23,241,201
24,247,195
25,286,81
26,292,75
27,293,211
28,294,217
29,312,1472
30,313,312
31,314,1470
32,317,317
33,318,1472
34,321,321
35,321,1248
36,323,1246
37,330,137
38,332,139
39,333,43
40,341,42
41,360,521
42,367,526
43,369,446
44,375,449
45,398,650
46,402,654
47,405,1418
48,408,1414
49,414,337
50,416,340
51,431,381
52,433,842
53,437,837
54,438,376
55,442,1247
56,449,1254
57,459,76
58,461,74
59,466,1306
60,468,1315
61,487,157
62,493,161
63,496,1160
64,497,1167
65,540,444
66,540,446
67,543,441
68,549,146
69,550,147
70,551,771
71,555,776
72,556,765
73,580,429
74,585,424
75,646,73
76,652,67
77,655,1047
78,659,362
79,660,361
80,660,1041
81,699,1190
82,703,1194
83,705,852
84,708,550
85,709,856
86,713,545
87,720,1281
88,725,1288
89,733,907
90,738,921
91,739,913
92,771,97
93,775,93
94,814,895
95,815,84
96,815,898
97,816,86
98,819,1529
99,826,1526
100,844,1200
101,850,1206
102,875,299
103,881,968
104,883,302
105,886,969
106,898,892
107,902,514
108,906,510
109,906,896
110,934,817
111,936,815
112,947,231
113,950,228
114,955,522
115,960,518
116,973,823
117,978,826
118,1013,820
119,1014,819
120,1023,875
121,1025,877
122,1028,286
123,1035,291
124,1039,287
125,1075,739
126,1080,734
127,1089,65
128,1092,61
129,1112,283
130,1114,281
131,1125,1100
132,1128,1180
133,1132,1093
134,1133,1175
135,1147,684
136,1152,686
137,1165,1012
138,1168,1008
